Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1523818800,2018-04-15 07-PM,BTCUSD,8318.28,8318.28,8273.15,8307.84,28.77,238486.52
1523815200,2018-04-15 06-PM,BTCUSD,8287.67,8324.84,8287.67,8318.28,22.62,187884.56
1523811600,2018-04-15 05-PM,BTCUSD,8275.33,8305.08,8270.18,8287.67,26.18,217131.65
1523808000,2018-04-15 04-PM,BTCUSD,8278.43,8304.51,8267.72,8275.33,33.06,273789.51
1523804400,2018-04-15 03-PM,BTCUSD,8340.29,8341.98,8259.85,8278.43,71.85,595361.51
1523800800,2018-04-15 02-PM,BTCUSD,8346.05,8368.81,8323.62,8340.29,32.79,273640.14
1523797200,2018-04-15 01-PM,BTCUSD,8342.35,8371.01,8339.08,8346.05,45.65,381263.09
1523793600,2018-04-15 12-PM,BTCUSD,8336.66,8350.47,8309.84,8342.35,47.67,397092.85
1523790000,2018-04-15 11-AM,BTCUSD,8115.01,8394.88,8114.49,8336.66,471.16,3909075.76
1523786400,2018-04-15 10-AM,BTCUSD,8110.36,8124.91,8110.36,8115.01,12.57,102045.46
1523782800,2018-04-15 09-AM,BTCUSD,8112.9,8119.15,8084.66,8110.36,26.49,214624.41
1523779200,2018-04-15 08-AM,BTCUSD,8086.8,8145.5,8086.8,8112.9,69.29,563456.43
1523775600,2018-04-15 07-AM,BTCUSD,8123.63,8123.63,8086.8,8086.8,14.33,116134.39
1523772000,2018-04-15 06-AM,BTCUSD,8119.42,8138,8101.95,8123.63,70.1,569523.78
1523768400,2018-04-15 05-AM,BTCUSD,8100.84,8119.57,8055.96,8119.42,25.57,206799.96
1523764800,2018-04-15 04-AM,BTCUSD,8085.68,8145.5,8082,8100.84,31.12,252453.17
1523761200,2018-04-15 03-AM,BTCUSD,8086.65,8102.8,8070,8085.68,15.85,128150.84
1523757600,2018-04-15 02-AM,BTCUSD,8109.69,8115.85,8078.6,8086.65,20.98,169810.32
1523754000,2018-04-15 01-AM,BTCUSD,8070,8116.36,8044.91,8109.69,66.71,539628.44
1523750400,2018-04-15 12-AM,BTCUSD,7996.03,8125.53,7996.03,8070,123.75,1000495.86
1523746800,2018-04-14 11-PM,BTCUSD,8053.4,8053.4,7960.5,7996.03,63.15,505457.92
1523743200,2018-04-14 10-PM,BTCUSD,8040.89,8068.91,8040.89,8053.4,15.85,127700.99
1523739600,2018-04-14 09-PM,BTCUSD,8064.03,8082.54,8037.14,8040.89,2.28,18416.61
1523736000,2018-04-14 08-PM,BTCUSD,8020.44,8076.2,8007.89,8064.03,39.91,321070.08
1523732400,2018-04-14 07-PM,BTCUSD,8028.25,8040.06,7992.33,8020.44,24.25,194356.15
1523728800,2018-04-14 06-PM,BTCUSD,7972.05,8034.59,7957.41,8028.25,22.46,179201.89
1523725200,2018-04-14 05-PM,BTCUSD,7994.15,7995.52,7943.63,7972.05,17.27,137565.89
1523721600,2018-04-14 04-PM,BTCUSD,7966.71,7994.15,7938.48,7994.15,41.02,326842.18
1523718000,2018-04-14 03-PM,BTCUSD,7981.46,8001.08,7966.71,7966.71,37.35,298296.73
1523714400,2018-04-14 02-PM,BTCUSD,7971.08,7981.46,7939.22,7981.46,42.68,339640.01
1523710800,2018-04-14 01-PM,BTCUSD,7907.2,7971.08,7907.2,7971.08,119.57,949688.8
1523707200,2018-04-14 12-PM,BTCUSD,7974.05,7990.16,7875.57,7907.2,165.77,1312031.46
1523703600,2018-04-14 11-AM,BTCUSD,7957.83,8021.79,7948.03,7974.05,101.44,810585.92
1523700000,2018-04-14 10-AM,BTCUSD,8035.95,8038.52,7929.92,7957.83,110.62,883129.48
1523696400,2018-04-14 09-AM,BTCUSD,8116.25,8120.19,7998.37,8035.95,127.92,1030538.73
1523692800,2018-04-14 08-AM,BTCUSD,8126.66,8163.18,8090.85,8116.25,83.37,677540.07
1523689200,2018-04-14 07-AM,BTCUSD,8017,8169,8003.56,8126.66,206.68,1679032.55
1523685600,2018-04-14 06-AM,BTCUSD,7982.85,8019.96,7973.45,8017,27.11,216908.99
1523682000,2018-04-14 05-AM,BTCUSD,7978.5,8029.21,7974.7,7982.85,44.83,358826
1523678400,2018-04-14 04-AM,BTCUSD,8039.15,8044.29,7973.28,7978.5,61.59,493247.07
1523674800,2018-04-14 03-AM,BTCUSD,8042.41,8053.26,8009.77,8039.15,80.88,649063.95
1523671200,2018-04-14 02-AM,BTCUSD,8051.67,8077.63,8016.3,8042.41,70,563159.05
1523667600,2018-04-14 01-AM,BTCUSD,7920,8071.92,7918.71,8051.67,124.27,997685.05
1523664000,2018-04-14 12-AM,BTCUSD,7878.81,7925.26,7831.51,7920,53.25,419785.51
1523660400,2018-04-13 11-PM,BTCUSD,7895.58,7973.13,7869.1,7878.81,65.63,520572.59
1523656800,2018-04-13 10-PM,BTCUSD,7878.17,7895.58,7817.32,7895.58,36.98,290058.97
1523653200,2018-04-13 09-PM,BTCUSD,7900.92,7911.03,7850.95,7878.17,18.74,147596.14
1523649600,2018-04-13 08-PM,BTCUSD,8106.73,8107.87,7849.66,7900.92,186.15,1477137.66
1523646000,2018-04-13 07-PM,BTCUSD,8110,8120.73,8053.53,8106.73,78.88,638586.49
1523642400,2018-04-13 06-PM,BTCUSD,8120.13,8120.13,8090.72,8110,63.76,516711.33
1523638800,2018-04-13 05-PM,BTCUSD,8130.99,8150.45,8065.95,8120.13,92.38,749031.76
1523635200,2018-04-13 04-PM,BTCUSD,8132.29,8152.11,8095.38,8130.99,101.97,828546.98
1523631600,2018-04-13 03-PM,BTCUSD,8115.23,8132.29,8082.15,8132.29,65.47,530397.95
