unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1638718200,2021-12-05 15:30:00,BTC/USDT,48450,48485.59973966,47755.02520643,47940,1258033.232598,26.21674344
1638716400,2021-12-05 15:00:00,BTC/USDT,48935.95234538,49115.97166646,48375.94990779,48450,721645.82939784,14.8210297
1638714600,2021-12-05 14:30:00,BTC/USDT,48968.61447944,49133.91329362,48878,48935.95234539,286307.81134868,5.83894609
1638712800,2021-12-05 14:00:00,BTC/USDT,49303.83421617,49337.67816783,48812.27017525,48975.95956344,912002.94957841,18.61273188
1638711000,2021-12-05 13:30:00,BTC/USDT,49184.45938933,49454.48323826,49143.83187316,49313.6948053,106290.24042272,2.1547219
1638709200,2021-12-05 13:00:00,BTC/USDT,49379.47632546,49379.47632546,49172.94710755,49184.45938933,392004.64346127,7.95508724
1638707400,2021-12-05 12:30:00,BTC/USDT,49469.46813314,49630.45791225,49316.66522635,49381.74037262,731137.90113431,14.77850929
1638705600,2021-12-05 12:00:00,BTC/USDT,49176.62298568,49659.5804,49078.38507786,49480.85225968,566425.42626326,11.45903713
1638703800,2021-12-05 11:30:00,BTC/USDT,49343.6499659,49361.05376032,48994.77910572,49248.41437896,1068773.63351681,21.71893028
1638702000,2021-12-05 11:00:00,BTC/USDT,49245.90441101,49390.09869663,49208.524878,49343.6662483,521533.87555276,10.57443148
1638700200,2021-12-05 10:30:00,BTC/USDT,49271.77488477,49407.4549893,49202.55641135,49242.59578613,152294.85932004,3.0893513
1638698400,2021-12-05 10:00:00,BTC/USDT,48999.81881901,49278.6324016,48854.85376504,49278.6324016,343321.65422026,6.99561946
1638696600,2021-12-05 09:30:00,BTC/USDT,49055.85495546,49246.00685039,48944.39904699,48985.31852868,191128.03016442,3.89125617
1638694800,2021-12-05 09:00:00,BTC/USDT,49472.01916204,49476.69627619,48744.7449394,49058.30742853,532391.35586343,10.8460807
1638693000,2021-12-05 08:30:00,BTC/USDT,49340.87901302,49549.70035977,49280.21560662,49478.03199622,80526.69529251,1.62750988
1638691200,2021-12-05 08:00:00,BTC/USDT,49295.98854904,49497.52514843,49164.96360575,49340.87901302,331740.46934477,6.72121332
1638689400,2021-12-05 07:30:00,BTC/USDT,49527.30852195,49547.64235712,49247.52519642,49318.17608658,243809.07537622,4.93456779
1638687600,2021-12-05 07:00:00,BTC/USDT,49462.52315833,49660.7876,49460.94460466,49527.30852196,156509.92519784,3.15633937
1638685800,2021-12-05 06:30:00,BTC/USDT,49497.52520643,49578.2914011,49302.22569809,49490.62329993,244298.49058356,4.94523717
1638684000,2021-12-05 06:00:00,BTC/USDT,49419.50066943,49518.38204573,49245.51964069,49504.53771397,1054670.7312961,21.37702834
1638682200,2021-12-05 05:30:00,BTC/USDT,49111.19872898,49428.64554969,49111.19872898,49400,285834.02540463,5.80556578
